epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.883,1.92579,1.98308,1.51953,0.71187,0.82206,0.79131,0.43083,1.53907,1.28611,1.26109,0.000552788,0.000552788,0.000552788
2,242.668,2.06091,1.33014,1.48391,0.76602,0.82078,0.82797,0.46029,1.56073,1.06098,1.29801,0.00108651,0.00108651,0.00108651
3,307.408,1.95332,1.2371,1.47967,0.83229,0.82151,0.87346,0.51454,1.45571,0.97853,1.27044,0.00159822,0.00159822,0.00159822
4,364.432,1.98049,1.15761,1.45265,0.84392,0.84327,0.89122,0.48118,1.62145,0.95533,1.30387,0.00156798,0.00156798,0.00156798
5,424.697,1.93496,1.13891,1.44879,0.86547,0.60925,0.65208,0.37105,nan,nan,nan,0.00153497,0.00153497,0.00153497
6,483.525,1.90625,1.06274,1.41215,0.89242,0.86377,0.90264,0.49893,1.61332,0.90312,1.26318,0.00150197,0.00150197,0.00150197
7,542.861,1.91118,1.03566,1.41169,0.87786,0.85959,0.9036,0.5264,1.46111,0.85167,1.21818,0.00146896,0.00146896,0.00146896
8,600.951,1.86895,0.99986,1.33275,0.86319,0.8651,0.88766,0.44721,1.72774,0.92055,1.32869,0.00143595,0.00143595,0.00143595
9,665.329,1.78732,0.97556,1.39923,0.9294,0.88651,0.92602,0.54799,1.55712,0.78614,1.25647,0.00140295,0.00140295,0.00140295
10,726.454,1.79996,0.94938,1.3538,0.90312,0.90049,0.93105,0.58726,1.34826,0.73293,1.16075,0.00136994,0.00136994,0.00136994
11,788.91,1.80147,0.93733,1.37674,0.91619,0.89897,0.93029,0.56051,1.41434,0.74716,1.18355,0.00133693,0.00133693,0.00133693
12,847.739,1.79702,0.92819,1.33749,0.91408,0.91221,0.93887,0.57422,1.41172,0.72081,1.15763,0.00130393,0.00130393,0.00130393
13,910.354,1.80408,0.9311,1.3393,0.93316,0.89133,0.9331,0.5858,1.38298,0.71659,1.16113,0.00127092,0.00127092,0.00127092
14,972.956,1.80322,0.92282,1.3323,0.92684,0.8874,0.93771,0.58475,1.38173,0.72825,1.15137,0.00123791,0.00123791,0.00123791
15,1033.97,1.72267,0.90042,1.36337,0.92084,0.89018,0.93531,0.57384,1.4364,0.73906,1.16839,0.00120491,0.00120491,0.00120491
16,1094.15,1.69503,0.87983,1.32475,0.92521,0.91222,0.94229,0.53672,1.58181,0.72334,1.21509,0.0011719,0.0011719,0.0011719
17,1153.94,1.71129,0.8477,1.28458,0.92819,0.91395,0.94659,0.59545,1.38057,0.68376,1.14533,0.00113889,0.00113889,0.00113889
18,1214.97,1.71048,0.84624,1.27714,0.92859,0.90961,0.94203,0.57271,1.42527,0.69881,1.15286,0.00110589,0.00110589,0.00110589
19,1272.3,1.69581,0.83806,1.28712,0.93653,0.91713,0.945,0.55762,1.48702,0.68643,1.17739,0.00107288,0.00107288,0.00107288
20,1327.93,1.68306,0.84881,1.31516,0.94282,0.91247,0.9519,0.62144,1.32085,0.66392,1.13502,0.00103987,0.00103987,0.00103987
21,1390.6,1.67447,0.82406,1.30934,0.93998,0.92167,0.94466,0.5657,1.49351,0.68432,1.17334,0.00100687,0.00100687,0.00100687
22,1448.99,1.68227,0.82316,1.26205,0.93408,0.92935,0.94886,0.60641,1.33854,0.63698,1.10775,0.000973861,0.000973861,0.000973861
23,1504.87,1.65842,0.81952,1.27924,0.93655,0.93144,0.95274,0.57655,1.39986,0.63749,1.14758,0.000940855,0.000940855,0.000940855
24,1564.1,1.59641,0.79543,1.24987,0.94621,0.92446,0.94941,0.60486,1.37401,0.62123,1.12542,0.000907848,0.000907848,0.000907848
25,1623.37,1.70198,0.82379,1.25392,0.94596,0.92526,0.95368,0.61575,1.29883,0.60319,1.09978,0.000874842,0.000874842,0.000874842
26,1683.3,1.60745,0.79544,1.2665,0.94442,0.9254,0.95867,0.62341,1.2583,0.60361,1.10249,0.000841835,0.000841835,0.000841835
